0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-inf,-inf,-15.025522489994108,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-15.405939743879559,-inf,-inf,-15.310542052546229,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-14.514696866228116,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-15.025522489994108,-inf,-inf,-inf,-inf,-inf,-15.310542052546229,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-14.332375309434163,-inf,-inf,-inf,-inf,-inf,-14.617394871986283,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-16.124134778662217,-inf,-inf,-inf,-inf,-inf,-13.924247691426338,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-13.485077449046958,-inf,-inf,-inf,-inf,-inf,-14.211929763878118,-inf,-inf,-14.237682657154034,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-13.290921434606,-inf,-inf,-15.405939743879559,-inf,-14.254178306900156,-13.364631903490915,-inf,-inf,-14.237682657154034,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-13.233763020766052,-inf,-inf,-14.30732745521145,-inf,-inf,-13.924247691426338,-inf,-inf,-13.544535476594088,-inf,-inf,-inf,-inf,-15.209041918715902,-inf,-inf,-inf,-inf
-inf,-14.594010782906771,-12.905258953794016,-inf,-inf,-14.01964538275967,-inf,-13.561031126340211,-13.231100510866392,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-14.594010782906771,-12.513216866017993,-inf,-inf,-14.712792563319613,-inf,-inf,-13.364631903490915,-inf,-inf,-inf,-15.586911185237453,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-15.287157963466717,-13.179695799495777,-inf,-inf,-15.405939743879559,-inf,-14.254178306900156,-12.912646779747858,-inf,-inf,-13.544535476594088,-inf,-inf,-inf,-inf,-15.209041918715902,-inf,-inf,-inf,-inf
-inf,-inf,-11.396746959949876,-inf,-inf,-13.79650183144546,-14.010435688324447,-13.561031126340211,-13.231100510866392,-inf,-inf,-14.237682657154034,-14.893764004677507,-inf,-inf,-inf,-15.209041918715902,-inf,-inf,-inf,-inf
-inf,-13.20771642178688,-11.934480036635792,-inf,-inf,-14.712792563319613,-inf,-14.254178306900156,-12.67148472293097,-15.131822540339199,-inf,-13.139070368485923,-14.893764004677507,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-13.900863602346826,-11.218860000223787,-inf,-inf,-13.614180274651504,-13.317288507764502,-14.254178306900156,-12.602491851444018,-inf,-inf,-13.139070368485923,-15.586911185237453,-14.086743075284982,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-11.74138287270818,-13.900863602346826,-11.120188472716757,-inf,-inf,-14.30732745521145,-12.911823399656338,-inf,-11.978337542371024,-inf,-inf,-12.628244744719932,-inf,-inf,-inf,-15.573660157111366,-14.515894738155957,-inf,-inf,-inf,-inf
-inf,-13.677720051032615,-11.279947692203626,-13.201355687449537,-13.182852460624058,-14.30732745521145,-13.317288507764502,-13.155566018232047,-11.814034491079747,-13.745528179219308,-inf,-12.851388296034143,-14.488298896569342,-14.086743075284982,-inf,-inf,-inf,-inf,-inf,-14.731779489600806,-inf
-inf,-12.291425689912725,-11.14052815695388,-13.201355687449537,-13.182852460624058,-13.103354650885514,-13.317288507764502,-12.462418837672102,-11.303208867313757,-inf,-13.689964341647036,-12.628244744719932,-14.893764004677507,-inf,-inf,-15.573660157111366,-inf,-inf,-inf,-inf,-inf
-inf,-12.722208606005179,-11.793401438375886,-inf,-13.182852460624058,-12.840990386418023,-12.911823399656338,-11.951593213906111,-11.621662598432291,-15.131822540339199,-inf,-12.040458079817814,-14.893764004677507,-inf,-inf,-14.187365795991475,-14.110429630047793,-inf,-inf,-inf,-inf
-inf,-12.1961155101084,-10.594705691150793,-11.815061326329646,-12.489705280064113,-13.326498202199724,-14.010435688324447,-12.462418837672102,-11.549341936852665,-14.438675359779253,-inf,-11.935097564159987,-14.488298896569342,-14.086743075284982,-inf,-14.475047868443257,-13.129600377036066,-inf,-14.481867565090424,-inf,-13.616810197893615
-11.74138287270818,-11.88596058180456,-10.815867081261011,-inf,-13.182852460624058,-13.614180274651504,-11.930994146644611,-11.420964962843941,-11.183407667501136,-13.340063071111144,-inf,-11.839787384355663,-14.488298896569342,-14.086743075284982,-12.630087962999559,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-12.1961155101084,-10.730507232309856,-13.201355687449537,-12.489705280064113,-13.00804447108119,-11.930994146644611,-11.951593213906111,-11.46039445083617,-14.03321025167109,-inf,-11.752776007366032,-14.200616824117562,-13.393595894725037,-inf,-inf,-14.515894738155957,-inf,-inf,-15.424926670160751,-inf
-11.74138287270818,-12.242635525743292,-10.358943675877372,-inf,-13.182852460624058,-12.766882414264302,-14.010435688324447,-11.68922894943862,-11.136154782650591,-13.5223846279051,-13.689964341647036,-11.102188441224884,-13.389686607901233,-14.086743075284982,-inf,-inf,-15.209041918715902,-inf,-inf,-inf,-inf
-10.642770584040068,-12.242635525743292,-10.781800526697406,-11.591917775015435,-11.573414548189957,-12.361417306156136,-12.400997775890346,-11.363806549003993,-11.020082611397838,-12.359233818099417,-inf,-11.102188441224884,-13.795151716009396,-12.700448714165091,-12.630087962999559,-13.49421861543153,-13.417282449487848,-inf,-13.788720384530478,-15.424926670160751,-inf
-11.74138287270818,-11.760797438850554,-10.181335403535515,-13.201355687449537,-12.08424017195595,-12.633351021639779,-13.317288507764502,-10.921973796724952,-10.619194170317085,-12.934597963002979,-12.080526429212934,-11.146640203795718,-13.977473272803351,-12.294983606056928,-11.53147567433145,-inf,-15.209041918715902,-inf,-14.481867565090424,-inf,-inf
-11.74138287270818,-11.919862133480242,-9.821515802917311,-10.493305486347326,-12.08424017195595,-12.69788954277735,-12.624141327204557,-10.757670745433677,-10.993053939009917,-11.912946715470998,-12.591352052978925,-11.404469313097817,-13.64100103618214,-12.477305162850882,-11.936940782439613,-13.964222244677266,-14.110429630047793,-inf,-14.481867565090424,-14.731779489600806,-13.616810197893615
-11.74138287270818,-11.480495473696397,-10.235256820329337,-11.255445538394223,-12.08424017195595,-12.27044552795041,-12.400997775890346,-11.309739327733716,-10.695421535704968,-12.187383561172759,-11.898204872418981,-10.836485275491878,-14.488298896569342,-11.688847802486611,-inf,-13.627750008056053,-14.515894738155957,-inf,-13.383255276422314,-14.731779489600806,-13.211345089785452
-10.642770584040068,-11.82142206066699,-10.355813782868445,-11.40959621822148,-11.391092991396004,-12.27044552795041,-12.064525539269134,-10.54060624019585,-10.979808712259898,-12.241450782443033,-inf,-11.293243677987594,-13.284326092243406,-12.477305162850882,-inf,-12.577927883557376,-13.417282449487848,-13.240802197986767,-inf,-13.815488757726651,-12.92366301733367
-9.795472723652866,-11.209620519560996,-10.127682690043196,-10.493305486347326,-10.985627883287838,-12.227885913531614,-11.707850595330402,-11.309739327733716,-10.777942559392972,-12.136090266785208,-12.591352052978925,-10.90547814697883,-12.753697841181236,-12.007301533605146,-12.630087962999559,-13.627750008056053,-13.263131769660589,-inf,-13.383255276422314,-13.479016521105438,-12.92366301733367
-10.131944960274078,-10.969669849930405,-10.433775324338157,-10.310983929553371,-11.573414548189957,-11.668270125596191,-12.218676219096393,-11.118684090971007,-10.788753475497188,-12.566873182877663,-inf,-10.212330966418884,-12.878860984135242,-12.294983606056928,-inf,-12.6832883992152,-13.822747557596012,-inf,-14.481867565090424,-13.815488757726651,-13.211345089785452
-10.355088511588288,-inf,-10.165710085632435,-10.716449037661537,-11.573414548189957,-12.038643913893086,-13.317288507764502,-10.996081768878675,-10.735831074042846,-12.359233818099417,-13.689964341647036,-11.102188441224884,-13.189015912439082,-11.688847802486611,-inf,-13.376435579775146,-12.375828574659687,-inf,-13.383255276422314,-13.345485128480915,-14.30995737845356
