"Territorio","Pop2019","ICU2019","Pop65","SchoolClo","Lockdown","Manufactur","GDP","GDPcap","Density2019","RSA","RSAp","DepRatio","DepRatioOld","House2019"
"Valle d'Aosta","125666","10","23.5","4/3/2020","9/3/2020","22/3/2020","4902","39008.164499546","38.537236106826","2","0.083368070029179","58.7","37.8","2"
"Piemonte","4356406","299","25.3","23/2/2020","9/3/2020","22/3/2020","137488.2","31560.006115133","171.59940688073","31","1.2922050854523","61.2","41.2","2.2"
"Lombardia","10060574","849","22.4","23/2/2020","8/3/2020","22/3/2020","390331.2","38798.104362634","421.5856924561","677","28.220091704877","56.8","35.4","2.3"
"P.A. Trento","541098","31","21.7","4/3/2020","9/3/2020","22/3/2020","20606.5","38082.750259657","87.173764553409","54","2.2509378907878","57.3","34.7","2.3"
"P.A. Bolzano","531178","40","19.4","4/3/2020","9/3/2020","22/3/2020","24908.5","46892.943608357","71.79651872484","37","1.5423092955398","54.7","30.3","2.4"
"Veneto","4905854","484","22.6","23/2/2020","9/3/2020","22/3/2020","163171.3","33260.529155576","266.51508717761","521","21.717382242601","56.6","35.8","2.4"
"Friuli Venezia Giulia","1215220","125","25.9","23/2/2020","9/3/2020","22/3/2020","38139.6","31384.934415168","154.56286697902","72","3.0012505210504","61.8","42.3","2.2"
"Liguria","1550640","183","28.4","24/2/2020","9/3/2020","22/3/2020","50109.1","32315.10860032","286.2959519598","140","5.8357649020425","65.6","47.2","2"
"Emilia-Romagna","4459477","444","21.2","23/2/2020","9/3/2020","22/3/2020","161705.8","36261.157978839","198.61582472608","348","14.506044185077","58.9","38.1","2.2"
"Toscana","3729641","365","25.2","4/3/2020","9/3/2020","22/3/2020","117748.3","31570.947445076","162.24969889778","82","3.4180908711963","60.8","40.8","2.3"
"Umbria","882015","69","25.2","4/3/2020","9/3/2020","22/3/2020","22338.4","25326.553403287","104.2037893737","50","2.0842017507295","61.6","41.3","2.3"
"Marche","1525271","114","24.5","4/3/2020","9/3/2020","22/3/2020","42914.4","28135.590331161","162.23913192277","32","1.3338891204669","59.9","39.6","2.4"
"Lazio","5879082","553","21.4","4/3/2020","9/3/2020","22/3/2020","197742.7","33634.962057001","341.16660033577","106","4.4185077115465","54","33.4","2.3"
"Abruzzo","1311580","109","23.6","4/3/2020","9/3/2020","22/3/2020","33596.2","25615.059698989","121.08562767755","16","0.66694456023343","56.9","37.4","2.4"
"Molise","305617","30","24.2","4/3/2020","9/3/2020","22/3/2020","6342.2","20752.117846848","68.514047277399","6","0.25010421008754","56.2","38.5","2.4"
"Campania","5801692","482","18.5","4/3/2020","9/3/2020","22/3/2020","108071.6","18627.600362101","424.38111294947","15","0.62526052521884","49.9","28.2","2.7"
"Puglia","4029053","299","21.7","4/3/2020","9/3/2020","22/3/2020","75333.9","18697.669154513","206.18559813719","60","2.5010421008754","54.3","34.1","2.5"
"Basilicata","562869","49","22.6","4/3/2020","9/3/2020","22/3/2020","12358.3","21955.90803544","55.877193886355","1","0.041684035014589","53.6","35.3","2.4"
"Calabria","1947131","144","21.2","4/3/2020","9/3/2020","22/3/2020","33143.8","17021.864476504","127.91640540114","94","3.9182992913714","53.4","33.1","2.4"
"Sicilia","4999891","385","20.8","4/3/2020","9/3/2020","22/3/2020","88626.8","17725.746421272","193.55125104591","39","1.625677365569","53.8","32.6","2.5"
"Sardegna","1639591","120","23.2","4/3/2020","9/3/2020","22/3/2020","34541.7","21067.266165769","68.032762577397","16","0.66694456023343","53.8","36.5","2.2"
